Anki Word,In Common List?
ฉัน / ผม,False
เรา,True
คุณ,True
เขา,True
หมา,False
ไก่,True
น้ำ,True
ข้าว,True
ภาษาไทย,False
ภาษาอังกฤษ,True
ไป,True
มา,True
กิน,True
ดื่ม,True
ชอบ,True
รัก,True
พูด,True
บ้าน,True
โรงแรม,True
ร้านอาหาร,True
โรงพยาบาล,True
โรงเรียน,True
ห้อง,True
ห้องน้ำ,True
ห้องนอน,True
ห้องครัว,False
ประตู,True
หน้าต่าง,True
ทำ,True
ดู,True
เปิด,True
ปิด,True
อ่าน,True
เขียน,True
เรียน,False
สอน,True
เข้าใจ,True
นอน,True
จะ,True
(V) แล้ว,False
นิดหน่อย,True
มาก,True
เร็ว,True
ช้า,True
ด้วย,True
ดี,True
ไม่ดี,True
สวย,True
หล่อ,True
อร่อย,True
ถูก,False
แพง,False
ง่าย,True
ยาก,True
หิว,True
อิ่ม,False
ใหม่,True
เก่า,True
เก่ง,True
ผู้ชาย,True
ผู้หญิง,True
เด็กผู้ชาย,True
เด็กผู้หญิง,False
น้ำชา,False
กาแฟ,True
เหล้า,False
ไวน์,True
เบียร์,True
หมู,True
วัว,True
ปลา,True
ทำงาน,True
ทำอาหาร,True
ทำความสะอาด,True
เป็น,True
ขอ,True
เอา,True
นั่ง,True
ยืน,True
เดิน,True
วิ่ง,True
ศูนย์,True
หนึ่ง,True
สอง,True
สาม,True
สี่,True
ห้า,True
หก,True
เจ็ด,True
แปด,True
เก้า,True
สิบ,True
ยี่สิบ,True
สามสิบ,True
สี่สิบ,True
ห้าสิบ,True
หนึ่ง ร้อย,False
สอง ร้อย,False
สาม ร้อย,False
สี่ร้อย,False
แปด ร้อย,False
พัน,True
หมื่น,False
แสน,False
ล้าน,True
เงิน,True
นี่,False
นั้น,False
โน้น,False
เท่าไร,False
ก่ี บาท,False
เช็คบิล,False
รถยนต์,True
รถเมล์,False
รถตู้,True
รถไฟ,True
จักรยาน,True
จักรยานยนต์,False
เครื่องบิน,True
ตั๋ว,True
ครู,True
อาจารย์,True
