Anki Word,In Nilsen List?
ฉัน / ผม,False
เรา,True
คุณ,True
เขา,True
หมา,True
ไก่,True
น้ำ,True
ข้าว,True
ภาษาไทย,False
ภาษาอังกฤษ,False
ไป,True
มา,True
กิน,True
ดื่ม,True
ชอบ,True
รัก,True
พูด,True
บ้าน,True
โรงแรม,True
ร้านอาหาร,False
โรงพยาบาล,True
โรงเรียน,True
ห้อง,True
ห้องน้ำ,True
ห้องนอน,False
ห้องครัว,False
ประตู,True
หน้าต่าง,True
ทำ,True
ดู,True
เปิด,True
ปิด,True
อ่าน,True
เขียน,True
เรียน,True
สอน,True
เข้าใจ,True
นอน,True
จะ,True
(V) แล้ว,False
นิดหน่อย,True
มาก,True
เร็ว,True
ช้า,True
ด้วย,True
ดี,True
ไม่ดี,False
สวย,True
หล่อ,True
อร่อย,True
ถูก,True
แพง,True
ง่าย,True
ยาก,True
หิว,True
อิ่ม,True
ใหม่,True
เก่า,True
เก่ง,True
ผู้ชาย,True
ผู้หญิง,True
เด็กผู้ชาย,False
เด็กผู้หญิง,False
น้ำชา,False
กาแฟ,True
เหล้า,True
ไวน์,True
เบียร์,True
หมู,True
วัว,True
ปลา,True
ทำงาน,True
ทำอาหาร,False
ทำความสะอาด,False
เป็น,True
ขอ,True
เอา,True
นั่ง,True
ยืน,True
เดิน,True
วิ่ง,True
ศูนย์,True
หนึ่ง,False
สอง,False
สาม,False
สี่,False
ห้า,True
หก,True
เจ็ด,False
แปด,False
เก้า,True
สิบ,True
ยี่สิบ,False
สามสิบ,False
สี่สิบ,False
ห้าสิบ,False
หนึ่ง ร้อย,False
สอง ร้อย,False
สาม ร้อย,False
สี่ร้อย,False
แปด ร้อย,False
พัน,True
หมื่น,True
แสน,True
ล้าน,True
เงิน,True
นี่,True
นั้น,True
โน้น,True
เท่าไร,True
ก่ี บาท,False
เช็คบิล,False
รถยนต์,True
รถเมล์,True
รถตู้,False
รถไฟ,True
จักรยาน,True
จักรยานยนต์,False
เครื่องบิน,True
ตั๋ว,True
ครู,True
อาจารย์,True
