Word,In Anki?
ที่,True
เป็น,True
และ,True
เอ,False
ของ,True
ถึง,True
ใน,True
ผม,True
คุณ,True
มัน,True
มี,True
ถึง,True
นั่น,False
สำหรับ,False
ทำ,True
เขา,True
กับ,True
บน,True
นี้,False
ไม่,False
เรา,True
นั่น,False
ไม่,False
แต่,True
พวกเขา,True
พูด,True
ที่,True
อะไร,True
ของเขา,True
จาก,True
ไป,True
หรือ,True
โดย,False
รับ,True
เธอ,True
ของฉัน,False
สามารถ,False
เช่น,False
ทราบ,True
ถ้า,True
ฉัน,False
ของคุณ,True
ทั้งหมด,False
ใคร,True
เกี่ยวกับ,False
ของพวกเขา,False
จะ,True
ดังนั้น,True
จะ,True
ทำ,True
แค่,True
ขึ้น,True
คิด,True
เวลา,True
ที่นั่น,True
ดู,True
ของเธอ,False
เช่น,False
ออก,True
หนึ่ง,True
มา,True
ผู้คน,False
เอา,True
ปี,True
เขา,True
พวกเขา,True
บาง,True
ต้องการ,False
อย่างไร,True
เมื่อไร,True
ที่,True
ตอนนี้,True
ชอบ,True
อื่น ๆ,False
สามารถ,False
ของเรา,False
เข้าไปข้างใน,False
ที่นี่,True
แล้ว,False
กว่า,True
ดู,True
ทาง,True
มากกว่า,False
เหล่านี้,False
ไม่,False
สิ่ง,True
ดี,True
เพราะ,True
อีกด้วย,False
สอง,True
ใช้,True
บอก,True
ดี,True
แรก,True
ชาย,False
วัน,True
หา,True
ให้,True
มากกว่า,False
ใหม่,True
หนึ่ง,True
เรา,True
ใด ๆ,False
เหล่านั้น,False
มาก,True
ของเธอ,False
ความต้องการ,False
กลับ,True
ที่นั่น,True
ควร,True
สม่ำเสมอ,False
เท่านั้น,False
มากมาย,False
จริงๆ,False
งาน,True
ชีวิต,True
ทำไม,True
ขวา,True
ลง,True
บน,True
ลอง,True
อนุญาต,False
บางสิ่งบางอย่าง,False
ด้วย,True
เรียก,False
ผู้หญิง,True
พฤษภาคม,False
นิ่ง,False
ผ่าน,True
หมายถึง,True
หลังจาก,False
ไม่เคย,False
ไม่,False
โลก,True
ใน,True
รู้สึก,True
ใช่,False
ยอดเยี่ยม,True
ล่าสุด,True
เด็ก,True
โอ้,False
เกิน,True
ถาม,False
เมื่อไร,True
เช่น,False
โรงเรียน,True
สถานะ,False
มาก,True
พูดคุย,False
ออก,True
เก็บ,True
ออกจาก,False
ใส่,True
ชอบ,True
ช่วย,True
ใหญ่,True
ที่ไหน,True
เดียวกัน,True
ทั้งหมด,False
เป็นเจ้าของ,False
