Word,In Anki?
ที่,True
ได้,True
จะ,True
นี้,False
ว่า,False
เป็น,True
มี,True
ให้,True
ต้อง,True
ของ,True
กับ,True
ไม่,False
และ,True
ใน,True
กัน,True
ขึ้น,True
ด้วย,True
จาก,True
การ,False
ไป,True
มา,True
ถึง,True
กว่า,True
ทั้ง,True
เมื่อ,False
คน,True
แต่,True
อยู่,True
ก็,True
เรื่อง,True
อย่าง,False
ความ,False
นั้น,True
มาก,True
แล้ว,False
ถูก,True
ไว้,True
หรือ,True
เพราะ,True
เวลา,True
ยัง,True
ทำ,True
เห็น,True
เข้า,True
ชั้น,False
ซึ่ง,False
ลง,True
ถ้า,True
ตัว,True
ใช้,True
ตาม,True
อีก,True
บาง,True
ทำให้,False
ทาง,True
แบบ,True
ออก,True
ที่สุด,True
เรา,True
โดย,False
ดี,True
เพื่อ,False
จึง,True
ต่อ,True
ครั้ง,False
เขา,True
หลาย,True
ทุก,True
ผู้,False
น้อย,False
คือ,True
หาก,False
เกิด,False
ปี,True
งาน,True
ใหม่,True
ตั้ง,True
ส่วน,True
รับ,True
แรก,True
พระ,True
ทำงาน,True
วัน,True
ช่วย,True
เพียง,False
อาจ,False
อื่น,True
ขนาด,True
นัก,True
เริ่ม,True
เด็ก,True
ชีวิต,True
สูง,True
ก่อน,True
ต่อไป,False
เปลี่ยน,False
ต่าง,False
ดู,True
แห่ง,False
ใหญ่,True
หา,True
สำหรับ,False
ผม,True
กลาง,True
ก็ได้,True
นอก,False
ด้าน,False
คุณ,True
เดียว,True
เมือง,True
สิ่ง,True
ตัด,True
ทรง,False
นำ,False
ผิด,True
เสีย,True
เอา,True
จน,True
เลย,True
คิด,True
นับ,True
ผ่าน,True
เท่านั้น,False
ตั้งแต่,True
ตอน,True
สามารถ,False
เรียก,False
ชื่อ,False
ประเทศ,False
เอง,True
ภาพ,False
นอกจาก,False
อ่าน,True
เคย,True
อะไร,True
กลับ,True
ขอ,True
โลก,True
ได้รับ,False
น้ำ,True
เดิม,False
อย่างไร,True
ยิ่ง,True
บ้าน,True
ฝ่าย,False
คำ,True
พบ,True
เข้าใจ,True
อัน,True
ส่ง,False
ถือ,True
มัน,True
ที่อยู่,False
แม้,False
กำลัง,True
ควร,True
ปัญหา,False
ยก,True
น่า,True
ต้น,True
รู้,True
เหมือน,True
เท่า,True
บน,True
พยายาม,True
จริง,False
สร้าง,False
ร่วม,False
บอก,True
ตลอด,True
เช่น,False
หนังสือ,False
ละ,False
ท่าน,False
เก็บ,True
ไม่ว่า,False
ผล,False
บ้าง,True
ใคร,True
แก่,True
หลัง,True
กลายเป็น,False
จัด,False
ใช่,False
เลือก,True
เธอ,True
ลูก,True
คง,True
ที่มา,False
ทหาร,True
ตัวเอง,False
ต้องการ,False
ทั้งหมด,False
แสดง,False
ง่าย,True
ระหว่าง,True
พูด,True
ใจ,True
อาหาร,True
ใด,False
กลุ่ม,True
ช่วง,False
พอ,True
อยาก,False
เงิน,True
รวม,False
หน้า,True
สี,False
เขียน,True
ฉัน,False
ชาย,False
โอกาส,True
ดัง,True
เสมอ,False
นาย,False
ชาติ,True
แม่,True
เรียน,True
เสียง,False
รัก,True
ทราบ,True
โรง,False
เชื่อ,True
ตน,False
ระดับ,False
ครอบครัว,True
เปิด,True
ชอบ,True
ภายใน,False
เหลือ,False
แทน,False
มอง,True
พวก,True
รูป,True
ญาติ,False
ติด,True
หรือไม่,False
วาง,True
ยาก,True
ฟัง,False
เดือน,True
นาน,True
ระบบ,False
ผู้หญิง,True
ภรรยา,False
พัฒนา,False
ซื้อ,True
สังคม,False
รู้จัก,False
จำนวน,False
เล่น,True
สำคัญ,True
เดียวกัน,True
วัด,True
ตรง,True
แน่นอน,True
เล็ก,True
ชาว,True
มากมาย,False
รักษา,True
ลด,True
กิน,True
แรง,True
สุข,True
ขาย,True
ชาวบ้าน,True
ค่า,False
เจ้าของ,True
มุม,False
เพิ่ม,False
ใต้,True
คู่,True
ข้าม,True
ระยะ,False
สู่,False
พร้อม,True
รู้สึก,True
นี่,True
หลังจาก,False
หมด,True
ประ,False
หญิง,False
สุดท้าย,False
แต่ละ,False
เพลง,True
เพื่อน,True
จนถึง,True
ยังคง,False
รอบ,False
ติดต่อ,False
ไหน,True
ความรู้สึก,False
ปลาย,False
ยาว,True
แต่ง,False
นักเรียน,True
สงบ,True
จุด,True
เดิน,True
สนใจ,True
ปกติ,True
ครู,True
สมัย,False
ก็คือ,False
อายุ,False
ดิน,False
เครื่อง,False
กล่าว,False
กำหนด,True
สอน,True
ประมาณ,True
ถาม,False
ประจำ,False
เกี่ยวกับ,False
ประโยชน์,True
จำเป็น,True
เกิน,True
นาง,False
คืน,True
ยา,True
เศรษฐกิจ,False
สภาพ,True
ตาย,True
ทะเล,True
ดังกล่าว,False
โดยเฉพาะ,False
จัดการ,False
โรงเรียน,True
เล่า,True
มนุษย์,False
ตก,True
พ่อ,True
ชนิด,True
ประชาชน,False
กรณี,False
ตา,True
ปัจจุบัน,False
ใส่,True
รถ,False
ขาด,True
สามี,True
ข้อ,False
รัฐ,False
หลัก,False
เหนือ,False
พี่,True
สำเร็จ,False
เรื่องราว,False
วิธี,True
ความจริง,False
ชุด,True
อำเภอ,True
ภาษา,False
ห้อง,True
หน้าที่,False
เหตุ,False
เดินทาง,True
ทั่ว,False
มัก,False
พิเศษ,True
พิจารณา,False
ธรรมดา,False
ผลิต,False
พา,True
ยอมรับ,False
พิมพ์,False
โต,True
ลักษณะ,False
ตัดสินใจ,True
ราคา,True
ผู้ใหญ่,False
อารมณ์,True
กา,True
เสนอ,False
ข้าว,True
ปฏิบัติ,False
ตำแหน่ง,False
ข้อมูล,False
การศึกษา,False
วัย,False
ตนเอง,False
ชัดเจน,False
นั่ง,True
สาย,True
จับ,True
รัฐบาล,True
ดูแล,True
ปรากฏ,False
ต่ำ,True
ทอง,True
ญี่ปุ่น,False
กฎหมาย,False
ท้าย,False
รวมทั้ง,False
เรือ,False
อำนาจ,False
สั้น,True
ห้าม,True
เนื่องจาก,False
ธรรมชาติ,False
วันที่,False
ไม้,True
เกินไป,True
ค่อนข้าง,False
เรียกว่า,False
แล้วก็,True
รา,False
ส่วนใหญ่,False
รวดเร็ว,False
ตอบ,False
ศึกษา,False
มือ,True
เต็ม,True
นา,True
เลิก,False
ป่า,True
เหตุผล,False
ใบ,True
ราช,False
สาว,False
เก่า,True
พูดถึง,False
แก้,True
จบ,True
คณะ,False
ประเภท,True
บริเวณ,False
ความคิด,True
อาศัย,False
หัว,True
มิ,False
จังหวัด,True
บุคคล,False
หลวง,True
ยอม,True
ปิด,True
อย่า,True
เต็มที่,False
ชิ้น,False
ฐานะ,False
อากาศ,True
ก่อ,False
เหตุการณ์,False
พวกเขา,True
คนใน,False
ราย,False
สัมผัส,False
ดังนั้น,True
ศรี,False
ต่อมา,False
แค่,True
ย้าย,False
ไร้,False
บรรยากาศ,True
งาม,False
สั่ง,False
ใกล้,True
พื้นที่,False
การเมือง,True
น่าเชื่อ,False
ปล่อย,False
เลี้ยง,True
คำถาม,True
ถนน,False
สัก,True
เพียงแต่,False
มหาวิทยาลัย,True
ประกอบ,False
ชน,True
ความรู้,False
ผู้คน,False
ฆ่า,False
เปลี่ยนแปลง,False
แยก,False
มาตรา,False
อา,True
เจ้า,False
ร้อย,False
สะดวก,False
บริษัท,True
ซ้ำ,False
ทั่วไป,True
ร้าน,False
อย่างน้อย,False
เหมือนกับ,False
คล้าย,False
กว้าง,False
เฉพาะ,False
ช่วยเหลือ,False
องค์,False
หนัง,True
ที,False
หยุด,True
เขต,True
ครึ่ง,True
ยุค,False
กระทำ,False
หนัก,False
แก้ไข,True
บาท,True
ปลูก,False
สัตว์,True
คำตอบ,True
ถือว่า,False
พอใจ,True
น้อง,True
ประชุม,False
ทางการ,False
เหล่านี้,False
นอน,True
ขาว,False
ภาค,True
ร้อน,True
สิ้น,True
กันเอง,False
หมู่,False
โครงการ,False
บริการ,True
ปลา,True
ป้องกัน,False
ตลาด,True
เรื่อย,True
แบ่ง,True
ก็ตาม,False
บริหาร,True
ควบคุม,False
เร็ว,True
อาจารย์,True
แม้แต่,False
ลา,True
รุ่น,False
ข้าง,True
ผู้ชาย,True
ร่าง,False
พัก,True
จำ,True
เล่ม,False
สินค้า,True
วิ,False
มองเห็น,False
เรียบร้อย,True
พ่อแม่,False
ตกลง,True
เสร็จ,True
ไกล,True
ทิ้ง,True
ไหม,False
ข่าว,True
ประกาศ,False
ดำ,False
มหา,False
วง,False
พระเจ้า,False
ชี้,True
สิบ,True
ฉบับ,False
เกือบ,True
สุด,False
แดง,False
แหล่ง,False
อาการ,False
สถานที่,False
ชุมชน,False
สิทธิ,False
สนับสนุน,False
บท,False
ชม,False
ทำไม,True
ธรรม,False
ส่วนตัว,True
หมอ,True
เหมาะสม,False
พระองค์,False
แผ่น,False
นโยบาย,False
ไม่ค่อย,True
ช่อง,False
วิธีการ,False
นิยม,False
เหมาะ,True
อดีต,False
สม,False
สำรวจ,False
ย่อม,False
พี่น้อง,True
ทันที,False
ล้วน,False
ทั้งนี้,False
สาร,False
ไหล,False
วัฒนธรรม,True
สถาบัน,False
เทียบ,False
ตี,True
หาย,True
พิธี,True
ปฏิเสธ,True
รอ,True
ชัด,False
สัมพันธ์,False
ปรับ,True
วิชา,False
เลื่อน,False
เริ่มต้น,False
อาชีพ,True
แนว,False
สมาชิก,False
ลึก,False
ตั้งใจ,True
จิตใจ,False
จนกระทั่ง,False
แนะนำ,True
เรียนรู้,False
รายการ,True
ต่างประเทศ,False
หมายถึง,True
ดำเนินการ,False
กล้า,False
ชั่วโมง,False
เกี่ยวข้อง,False
ปาก,True
ที่สำคัญ,False
คอย,True
ได้แก่,False
ล้าง,True
เนื้อ,True
ทำลาย,False
กระทบ,False
หัวใจ,False
ครบ,False
ผ้า,True
ขณะ,False
เตรียม,False
หัวหน้า,True
กลัว,True
ก็ดี,False
อนาคต,False
แตกต่าง,False
หมู่บ้าน,False
ยึด,False
ไร่,False
นั่น,False
ถูกต้อง,False
