Cleaned Text,Note Count,Models Involved,Note IDs
เผลอไม่ได้,2,~Speak like a Thai,"1442747087474, 1442747087743"
บอกแล้วไง,2,~Speak like a Thai,"1442747087497, 1442747087650"
ทีหลังอย่าทำ,2,~Speak like a Thai,"1442747087527, 1442747087830"
ไม่รู้จะทำยังไง,2,~Speak like a Thai,"1442747087672, 1442747087765"
ไปก่อนนะ,2,"Basic (+Audio) & reversed, ~Speak like a Thai","1442747087828, 1685088173815"
ได้ยินกับหู,2,"Basic (+Audio), ~Speak like a Thai","1442747087843, 1712806713351"
มะม่วง,2,"Thai Food, ~Pocket Thai Vocab","1504119762445, 1684951241142"
มะละกอ,2,"Thai Food, ~Pocket Thai Vocab","1504119762446, 1684951241138"
สับปะรด,2,"Thai Food, ~Pocket Thai Vocab","1504119762447, 1684951241164"
มะเขือเทศ,2,"Thai Food, ~Pocket Thai Vocab","1504119762449, 1684951240972"
ชานมเย็น,2,"Thai Food, ~Pocket Thai Vocab","1504119762458, 1647718966990"
แกงเขียวหวาน,2,"Thai Food, ~Pocket Thai Vocab","1504119762471, 1647718966494"
แกงเผ็ด,2,"Thai Food, ~Pocket Thai Vocab","1504119762472, 1647718966524"
ต้มยำ,2,"Thai Food, ~Pocket Thai Vocab","1504119762473, 1647718966568"
ส้มตำ,2,"Thai Food, ~Pocket Thai Vocab","1504119762475, 1647718966606"
ไก่ย่าง,2,"Thai Food, ~Pocket Thai Vocab","1504119762476, 1647718966790"
ไก่ผัดขิง,2,"Thai Food, ~Pocket Thai Vocab","1504119762477, 1647718966676"
ข้าวซอย,2,"Thai Food, ~Pocket Thai Vocab","1504119762481, 1647718966420"
โจ๊ก,2,"Thai Food, ~Pocket Thai Vocab","1504119762482, 1647718966364"
◌่,2,"Basic, Basic (+Audio on back)","1533709133038, 1713073491257"
คั่ว,2,"Basic (+Audio), Basic (+Audio) & reversed","1676354162642, 1772297073127"
นอนไม่หลับ,2,"Basic (+Audio), Basic (+Audio) & reversed","1722920095447, 1772288864326"
ว่า,2,"Basic (+Audio), Basic (+Audio) & reversed","1740132032793, 1773410107348"
