Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio,rank
ที่ [sound:google-fc983f87-e3558dc3-c39eca48-30c3ac2c-7ad7f95f.mp3],at,FALSE,~Freq 4000,1399818767972,Basic (and reversed card),,,,,,,,,,,,,,,1
ได้ [sound:google-4026d400-17fc95ff-b1e5d3bc-b5d2148c-cc6c642d.mp3],can,FALSE,~Freq 4000,1399818767973,Basic (and reversed card),,,,,,,,,,,,,,,2
จะ [sound:google-59b46f52-170716e0-0306b9ec-cc23b818-58db9405.mp3],will,FALSE,~Freq 4000,1399818767974,Basic (and reversed card),,,,,,,,,,,,,,,3
นี้ [sound:google-4ba9f822-0ca22182-e190816d-5e82e244-6ab65800.mp3],this,FALSE,~Freq 4000,1399818767975,Basic (and reversed card),,,,,,,,,,,,,,,4
ว่า [sound:google-e4912abf-85923290-00581e64-50240900-98372155.mp3],that; think,FALSE,~Freq 4000,1399818767976,Basic (and reversed card),,,,,,,,,,,,,,,5
เป็น [sound:google-7b9e3ff7-5b02839b-a1bb2671-0894e928-a0704954.mp3],is; be able,FALSE,~Freq 4000,1399818767977,Basic (and reversed card),,,,,,,,,,,,,,,6
มี [sound:google-b7cb1dd1-bd23517e-62924fbf-d09351af-a2a120fc.mp3],have; there is,FALSE,~Freq 4000,1399818767978,Basic (and reversed card),,,,,,,,,,,,,,,7
ให้ [sound:google-b2e35988-d78187d5-12c7471c-122c6134-5fc5aaf2.mp3],for,FALSE,~Freq 4000,1399818767979,Basic (and reversed card),,,,,,,,,,,,,,,8
ต้อง [sound:google-b114c15d-a72aab19-e4cd103a-7153eb18-5a7c778c.mp3],must,FALSE,~Freq 4000,1399818767980,Basic (and reversed card),,,,,,,,,,,,,,,9
ของ [sound:google-dc6ffb53-616c0a31-b2f07192-c7f00d42-9d9a7d5b.mp3],of,FALSE,~Freq 4000,1399818767981,Basic (and reversed card),,,,,,,,,,,,,,,10
กับ [sound:google-2399b55d-1cd53192-2d6758fc-e50261a9-712720ab.mp3],with,FALSE,~Freq 4000,1399818767982,Basic (and reversed card),,,,,,,,,,,,,,,11
ไม่ [sound:google-74379e0b-5b976b19-09ecebe2-76210d0d-06961e7c.mp3],not,FALSE,~Freq 4000,1399818767983,Basic (and reversed card),,,,,,,,,,,,,,,12
และ [sound:google-c2ca434d-c8d18f4b-f3dc7cee-abb96b56-6ba78bcc.mp3],and,FALSE,~Freq 4000,1399818767984,Basic (and reversed card),,,,,,,,,,,,,,,13
ใน [sound:google-c9d68cc9-a73ffb9a-77c5c844-255bb16d-9c61644d.mp3],in,FALSE,~Freq 4000,1399818767985,Basic (and reversed card),,,,,,,,,,,,,,,14
กัน [sound:google-bc3a0cc7-1c8c425e-dbfb22d2-a9bcb1d7-7ba3490a.mp3],together,FALSE,~Freq 4000,1399818767986,Basic (and reversed card),,,,,,,,,,,,,,,15
ขึ้น [sound:google-dde889b4-ec4d6cee-ba1484ee-f93a1481-da46e8b5.mp3],increase; up,FALSE,~Freq 4000,1399818767987,Basic (and reversed card),,,,,,,,,,,,,,,16
ด้วย [sound:google-84f0d8f3-acacb59d-5506db0e-c5bc4124-08f8d4a4.mp3],with; also,FALSE,~Freq 4000,1399818767988,Basic (and reversed card),,,,,,,,,,,,,,,17
จาก [sound:google-ffd46f0d-dea8c624-6e21c1b8-a36b7e6d-6f14f6dd.mp3],from,FALSE,~Freq 4000,1399818767989,Basic (and reversed card),,,,,,,,,,,,,,,18
การ [sound:google-4ab394b3-5b267bce-4b9a7c4e-2e47e535-8b642e1f.mp3],the process of; work; job,FALSE,~Freq 4000,1399818767990,Basic (and reversed card),,,,,,,,,,,,,,,19
ไป [sound:google-19bc61a0-8ef86d82-6da9fdd3-4fefc2dd-09043b9b.mp3],go,FALSE,~Freq 4000,1399818767991,Basic (and reversed card),,,,,,,,,,,,,,,20
มา [sound:google-cce93024-e6568951-84aa014e-98219aa0-c96a181d.mp3],come,FALSE,~Freq 4000,1399818767992,Basic (and reversed card),,,,,,,,,,,,,,,21
ถึง [sound:google-5998378d-639f7d7e-39e22a43-4194bcb9-78c63446.mp3],reach; arrive at,FALSE,~Freq 4000,1399818767993,Basic (and reversed card),,,,,,,,,,,,,,,22
กว่า [sound:google-54cf47d3-bd7ef01c-4578d3b3-6b33676d-bd657638.mp3],than,FALSE,~Freq 4000,1399818767994,Basic (and reversed card),,,,,,,,,,,,,,,23
ทั้ง [sound:google-505cec36-fd7cf9f0-a6c269cb-a7f9d6b8-e41e4e82.mp3],all; both,FALSE,~Freq 4000,1399818767995,Basic (and reversed card),,,,,,,,,,,,,,,24
เมื่อ [sound:google-fe894970-d9d9faec-d326060b-4564b965-8e0fb654.mp3],when,FALSE,~Freq 4000,1399818767996,Basic (and reversed card),,,,,,,,,,,,,,,25
คน [sound:google-5376d633-38cae2b8-5c105240-1f609276-aa92ce41.mp3],person,FALSE,~Freq 4000,1399818767997,Basic (and reversed card),,,,,,,,,,,,,,,26
แต่ [sound:google-31b51afc-1774f4ad-33449299-e439972c-f74cae7b.mp3],but,FALSE,~Freq 4000,1399818767998,Basic (and reversed card),,,,,,,,,,,,,,,27
อยู่ [sound:google-e1038757-0a93f99f-b803eeeb-dfe9f335-83a751e9.mp3],located; present; exists,FALSE,~Freq 4000,1399818767999,Basic (and reversed card),,,,,,,,,,,,,,,28
ก็ [sound:google-ef9500c1-1ab986bc-532c6edb-d2143de8-dd73c1b9.mp3],then,FALSE,~Freq 4000,1399818768000,Basic (and reversed card),,,,,,,,,,,,,,,29
เรื่อง [sound:google-7fea8260-6988de44-a1900e2f-4fedc0a7-d84ff556.mp3],subject; story,FALSE,~Freq 4000,1399818768001,Basic (and reversed card),,,,,,,,,,,,,,,30
อย่าง [sound:google-2699213c-9a9f8264-4a50988d-4408706b-794e1211.mp3],type; like,FALSE,~Freq 4000,1399818768002,Basic (and reversed card),,,,,,,,,,,,,,,31
ความ [sound:google-b004d7f5-6468f6be-5329bc53-952d2b91-a8ab9f1a.mp3],matter; affair; subject,FALSE,~Freq 4000,1399818768003,Basic (and reversed card),,,,,,,,,,,,,,,32
นั้น [sound:google-7d1b5588-5702f331-412ae70d-6d2e2870-5ee88b9a.mp3],that,FALSE,~Freq 4000,1399818768004,Basic (and reversed card),,,,,,,,,,,,,,,33
มาก [sound:google-f7ddd3b4-a6279ea6-a5657d6a-6e2b654d-a2a61221.mp3],much,FALSE,~Freq 4000,1399818768005,Basic (and reversed card),,,,,,,,,,,,,,,34
แล้ว [sound:google-2082d0e4-a1044fa1-c4865ef8-23983f29-4e0908f7.mp3],already,FALSE,~Freq 4000,1399818768006,Basic (and reversed card),,,,,,,,,,,,,,,35
ถูก [sound:google-9c0888d9-f5fce5c3-293d73a3-0b879c0e-ca31921d.mp3],cheap,FALSE,~Freq 4000,1399818768007,Basic (and reversed card),,,,,,,,,,,,,,,36
ไว้ [sound:google-a213fe2b-39d9d138-a6167660-9b2838eb-79536206.mp3],to put in place; trust; to preserve,FALSE,~Freq 4000,1399818768008,Basic (and reversed card),,,,,,,,,,,,,,,37
หรือ [sound:google-f223ca41-34e251bc-25404a8d-9ef5202a-c027f09d.mp3],or,FALSE,~Freq 4000,1399818768009,Basic (and reversed card),,,,,,,,,,,,,,,38
เพราะ [sound:google-e9bbccb8-eb4235d1-f3ce7d9f-de99e2ed-0719f6af.mp3],because,FALSE,~Freq 4000,1399818768010,Basic (and reversed card),,,,,,,,,,,,,,,39
เวลา [sound:google-01c5f47d-2f82047b-31e6d890-e229f4a4-fd73eaf5.mp3],time,FALSE,~Freq 4000,1399818768011,Basic (and reversed card),,,,,,,,,,,,,,,40
ยัง [sound:google-917d3ddc-dd9e1bb0-48a64785-1b01515e-e493b03c.mp3],still,FALSE,~Freq 4000,1399818768012,Basic (and reversed card),,,,,,,,,,,,,,,41
ทำ [sound:google-3fed85e4-6650bc4b-9c000422-3f207891-565a75db.mp3],do,FALSE,~Freq 4000,1399818768013,Basic (and reversed card),,,,,,,,,,,,,,,42
เห็น [sound:google-034d35e6-ce30333e-a4016c58-f28c150a-e2f8da4e.mp3],see,FALSE,~Freq 4000,1399818768014,Basic (and reversed card),,,,,,,,,,,,,,,43
เข้า [sound:google-e94fdd8a-970c0f01-c8d10bfa-68c6ba97-3664307f.mp3],enter,FALSE,~Freq 4000,1399818768015,Basic (and reversed card),,,,,,,,,,,,,,,44
ชั้น [sound:google-c46622ad-cea2f45a-7b6019fd-86e6e517-0f56de7a.mp3],layer; level; grade,FALSE,~Freq 4000,1399818768016,Basic (and reversed card),,,,,,,,,,,,,,,45
ซึ่ง [sound:google-f30e1b43-c9c68e73-e26b0bb2-9da68b4c-8648c4be.mp3],which,FALSE,~Freq 4000,1399818768017,Basic (and reversed card),,,,,,,,,,,,,,,46
ลง [sound:google-aa771c3c-48e22365-66707f6d-94f991e4-4089a5d5.mp3],down,FALSE,~Freq 4000,1399818768018,Basic (and reversed card),,,,,,,,,,,,,,,47
ถ้า [sound:google-58f0721b-d5b93644-27816c4b-609e3bb1-47ecca80.mp3],if,FALSE,~Freq 4000,1399818768019,Basic (and reversed card),,,,,,,,,,,,,,,48
ตัว [sound:google-50f38c42-ed49022d-66572ca1-930205dc-2bbacb68.mp3],body,FALSE,~Freq 4000,1399818768020,Basic (and reversed card),,,,,,,,,,,,,,,49
ใช้ [sound:google-a10814fd-f86a6615-82d79808-892592bb-95cb3d36.mp3],use,FALSE,~Freq 4000,1399818768021,Basic (and reversed card),,,,,,,,,,,,,,,50
ตาม [sound:google-b1204b89-49d48640-4c8d7670-f88d62ae-79e2c335.mp3],follow; acccording,FALSE,~Freq 4000,1399818768022,Basic (and reversed card),,,,,,,,,,,,,,,51
อีก [sound:google-bc7c82a2-d1c9e7a8-e6ea4dd1-1821432a-d2c6499d.mp3],more,FALSE,~Freq 4000,1399818768023,Basic (and reversed card),,,,,,,,,,,,,,,52
บาง [sound:google-2cebea75-dcf87657-fb583531-4fc01695-c7961acd.mp3],some; thin,FALSE,~Freq 4000,1399818768024,Basic (and reversed card),,,,,,,,,,,,,,,53
ทำให้ [sound:google-651da9dc-01d10e2a-d1b70f81-34cf7c26-e0ee93e6.mp3],make,FALSE,~Freq 4000,1399818768025,Basic (and reversed card),,,,,,,,,,,,,,,54
ทาง [sound:google-4cc265d4-ab9ca32b-4f7413a4-8bedf514-11c306d2.mp3],way; direction,FALSE,~Freq 4000,1399818768026,Basic (and reversed card),,,,,,,,,,,,,,,55
แบบ [sound:google-78e8fe45-678c2a5c-46006b76-303e852a-4e5e8a56.mp3],model; style,FALSE,~Freq 4000,1399818768027,Basic (and reversed card),,,,,,,,,,,,,,,56
ออก [sound:google-b4a383ed-8939d138-ac6eea9b-6431cf50-c9b00b9f.mp3],exit,FALSE,~Freq 4000,1399818768028,Basic (and reversed card),,,,,,,,,,,,,,,57
ที่สุด [sound:google-a68422af-043693d4-f8c1ea2f-d220ef92-37951b53.mp3],most,FALSE,~Freq 4000,1399818768029,Basic (and reversed card),,,,,,,,,,,,,,,58
เรา [sound:google-7fb8ef9d-b46697fa-fa93a3fd-0ed3f24b-eafd2242.mp3],we; us,FALSE,~Freq 4000,1399818768030,Basic (and reversed card),,,,,,,,,,,,,,,59
โดย [sound:google-2c19d995-4c0ae059-047fab42-d5972b60-3988a4a4.mp3],by,FALSE,~Freq 4000,1399818768031,Basic (and reversed card),,,,,,,,,,,,,,,60
