Front,Back,vocab?,deckName,noteId,modelName,tags,Audio,Description,English Audio,Image,Image to Thai name card,Literal,Mnemonic,Notes,Phrase No.,Picture,Region,Thai Audio,Thai audio
"What are ""long"" and ""short"" vowels?","""Long"" and ""short"" refer to the relative length of time for which the vowel is pronounced.&nbsp;<div><br /></div><div>This feature, vowel duration, is not in English. For example, you can say, ""ball"" quickly or draw out the vowel, ""baaaaaaall"", and while it may sound strange the word still has the same meaning.&nbsp;<div><br /></div><div><b>In Thai, you must use the correct duration, or you will not be understood</b>.</div></div><div><br /></div><div>Press ""r"" on your keyboard and listen to how these are read differently:&nbsp;</div><div><br /></div><div>อะ อา อิ อี อึ อื</div>",FALSE,Thai::~~basics::vowels,1424429396332,Basic (+Audio on back),Thai::vowel,[sound:rec1424430963.mp3],,,,,,,,,,,,
ั-,-ah-<div>[short/closed] <br></div><div>กับ<br>(with) </div>,FALSE,Thai::~~basics::vowels,1424431467461,Basic (+Audio on back),Thai::vowel,[sound:rec1424432156.mp3],,,,,,,,,,,,
-ะ,"-ah<div><br /></div><div>[short/open]</div><div><br /></div><div>ปร<font color=""#ff0000"">ะ</font></div>",FALSE,Thai::~~basics::vowels,1424432191732,Basic (+Audio on back),Thai::vowel,[sound:rec1424432376.mp3],,,,,,,,,,,,
-า- or -า,"-aah- or -aah<div><br></div><div>[long/open or closed]</div><div><br></div><div>บ<font color=""#ff0000"">า</font>ด &nbsp;บ้<font color=""#ff0000"">า</font></div><br>cut - crazy",FALSE,Thai::~~basics::vowels,1424432403697,Basic (+Audio on back),Thai::vowel,[sound:rec1424432593.mp3],,,,,,,,,,,,
,"<img src=""15a.JPG""><br>strong /solid ",FALSE,Thai::~~basics::vowels,1424432665374,Basic (+Audio on back),Thai::vowel,[sound:rec1424433015.mp3],,,,,,,,,,,,
แ-ะ,"-ae<div><br></div><div>[short/open]</div><div><br></div><div><font color=""#ff0000"">แ</font>ก<font color=""#ff0000"">ะ</font></div><br>sheep",FALSE,Thai::~~basics::vowels,1424433036798,Basic (+Audio on back),Thai::vowel,[sound:rec1424433155.mp3],,,,,,,,,,,,
แ--,"aae-<div><br></div><div>[long/closed]</div><div><br></div><div><font color=""#ff0000"">แ</font>ดง</div><br>red",FALSE,Thai::~~basics::vowels,1424433173782,Basic (+Audio on back),Thai::vowel,[sound:rec1424433284.mp3],,,,,,,,,,,,
เ-าะ,"-aw<div><br></div><div>[short/open]</div><div><br></div><div><font color=""#ff0000"">เ</font>ก<font color=""#ff0000"">าะ</font></div><br>(island) ",FALSE,Thai::~~basics::vowels,1424433294668,Basic (+Audio on back),Thai::vowel,[sound:rec1424487887.mp3],,,,,,,,,,,,
-อ- or -อ,"-aaw- or -aaw<div><br></div><div>[long/open or closed]</div><div><br></div><div>น<font color=""#ff0000"">อ</font>น &nbsp;พ่<font color=""#ff0000"">อ</font></div><br>sleep - dad",FALSE,Thai::~~basics::vowels,1424487919537,Basic (+Audio on back),Thai::vowel,[sound:rec1424488095.mp3],,,,,,,,,,,,
,"<img src=""14a.JPG""><br>mushroom",FALSE,Thai::~~basics::vowels,1424488121667,Basic (+Audio on back),Thai::vowel,[sound:rec1424488327.mp3],,,,,,,,,,,,
เ-ะ,"-eh<div><br></div><div>[short/open]</div><div><br></div><div><font color=""#ff0000"">เ</font>ต<font color=""#ff0000"">ะ</font></div><br>touch ",FALSE,Thai::~~basics::vowels,1424488339837,Basic (+Audio on back),Thai::vowel,[sound:rec1424488425.mp3],,,,,,,,,,,,
เ-- or เ-,"-ehh- or -ehh<div><br></div><div>[long/open or closed]</div><div><br></div><div><font color=""#ff0000"">เ</font>พลง &nbsp;<font color=""#ff0000"">เ</font>ท</div><br>music - pour",FALSE,Thai::~~basics::vowels,1424488437356,Basic (+Audio on back),Thai::vowel,[sound:rec1424488660.mp3],,,,,,,,,,,,
,"<img src=""13a.JPG"" /><br>money - walk",FALSE,Thai::~~basics::vowels,1424488679246,Basic (+Audio on back),Thai::vowel,[sound:rec1424488836.mp3],,,,,,,,,,,,
เ-อะ,"-uh<div><br></div><div>[short/open]</div><div><br></div><div><font color=""#ff0000"">เ</font>ย<font color=""#ff0000"">อะ</font></div><br>a lot",FALSE,Thai::~~basics::vowels,1424488850006,Basic (+Audio on back),leech Thai::vowel,[sound:rec1424488996.mp3],,,,,,,,,,,,
เ-อ,"-uuhr<div><br></div><div>[long/open]</div><div><br></div><div><font color=""#ff0000"">เ</font>ผล<font color=""#ff0000"">อ</font></div><br>(unguarded) ",FALSE,Thai::~~basics::vowels,1424489003712,Basic (+Audio on back),Thai::vowel,[sound:rec1424489111.mp3],,,,,,,,,,,,
โ-ะ,"-oh<div><br></div><div>[short/open]</div><div><br></div><div><font color=""#ff0000"">โ</font>ต๊<font color=""#ff0000"">ะ&nbsp;</font></div><br>table",FALSE,Thai::~~basics::vowels,1424489124643,Basic (+Audio on back),Thai::vowel,"<font color=""#ff0000"">[sound:rec1424489264.mp3]</font>",,,,,,,,,,,,
โ-- or โ-,"-ohh- or -ohh-<div><br></div><div>[long/open or closed]</div><div><br></div><div><font color=""#ff0000"">โ</font>ชค - <font color=""#ff0000"">โ</font>ม<font color=""#ff0000"">โ</font>ห</div><br>luck - angry",FALSE,Thai::~~basics::vowels,1424489271391,Basic (+Audio on back),Thai::vowel,[sound:rec1424489426.mp3],,,,,,,,,,,,
,"<img src=""2a.JPG""><br>think - snow",FALSE,Thai::~~basics::vowels,1424489442239,Basic (+Audio on back),Thai::vowel,[sound:rec1424489635.mp3],,,,,,,,,,,,
,"<img src=""3a.JPG""><br>(another / good) ",FALSE,Thai::~~basics::vowels,1424489646576,Basic (+Audio on back),Thai::vowel,[sound:rec1424489823.mp3],,,,,,,,,,,,
,"<img src=""4a.JPG"" /><br>deep - or",FALSE,Thai::~~basics::vowels,1424489831711,Basic (+Audio on back),leech Thai::vowel,[sound:rec1424490033.mp3],,,,,,,,,,,,
,"<img src=""5a.JPG""><br><br>swallow - name",FALSE,Thai::~~basics::vowels,1424490045263,Basic (+Audio on back),Thai::vowel,[sound:rec1424490339.mp3],,,,,,,,,,,,
,"-oo'- or -oo'<div><br></div><div>[short/open or closed]</div><div><br></div><div>ค<font color=""#ff0000"">ุ</font>ก ผ<font color=""#ff0000"">ุ&nbsp;<br></font></div><br>prison - decay ",FALSE,Thai::~~basics::vowels,1424490349555,Basic (+Audio on back),Thai::vowel,[sound:rec1424490575.mp3],,,,,,,,,,,,
,"-ooo- or -ooo<div><br></div><div>[long/open or closed]</div><div><br></div><div>ล<font color=""#ff0000"">ู</font>ก &nbsp;ป<font color=""#ff0000"">ู&nbsp;<br><br>u monophthong</font></div>",FALSE,Thai::~~basics::vowels,1424490584342,Basic (+Audio on back),Thai::vowel,[sound:rec1424490713.mp3],,,,,,,,,,,,
