Front,Back,Audio,rank,noteId,tags
ที่,at,[sound:google-fc983f87-e3558dc3-c39eca48-30c3ac2c-7ad7f95f.mp3],1,1399818767972,
ได้,can,[sound:google-4026d400-17fc95ff-b1e5d3bc-b5d2148c-cc6c642d.mp3],2,1399818767973,
จะ,will,[sound:google-59b46f52-170716e0-0306b9ec-cc23b818-58db9405.mp3],3,1399818767974,
นี้,this,[sound:google-4ba9f822-0ca22182-e190816d-5e82e244-6ab65800.mp3],4,1399818767975,
ว่า,that; think,[sound:google-e4912abf-85923290-00581e64-50240900-98372155.mp3],5,1399818767976,
เป็น,is; be able,[sound:google-7b9e3ff7-5b02839b-a1bb2671-0894e928-a0704954.mp3],6,1399818767977,
มี,have; there is,[sound:google-b7cb1dd1-bd23517e-62924fbf-d09351af-a2a120fc.mp3],7,1399818767978,
ให้,for,[sound:google-b2e35988-d78187d5-12c7471c-122c6134-5fc5aaf2.mp3],8,1399818767979,
ต้อง,must,[sound:google-b114c15d-a72aab19-e4cd103a-7153eb18-5a7c778c.mp3],9,1399818767980,
ของ,of,[sound:google-dc6ffb53-616c0a31-b2f07192-c7f00d42-9d9a7d5b.mp3],10,1399818767981,
กับ,with,[sound:google-2399b55d-1cd53192-2d6758fc-e50261a9-712720ab.mp3],11,1399818767982,
ไม่,not,[sound:google-74379e0b-5b976b19-09ecebe2-76210d0d-06961e7c.mp3],12,1399818767983,
และ,and,[sound:google-c2ca434d-c8d18f4b-f3dc7cee-abb96b56-6ba78bcc.mp3],13,1399818767984,
ใน,in,[sound:google-c9d68cc9-a73ffb9a-77c5c844-255bb16d-9c61644d.mp3],14,1399818767985,
กัน,together,[sound:google-bc3a0cc7-1c8c425e-dbfb22d2-a9bcb1d7-7ba3490a.mp3],15,1399818767986,
ขึ้น,increase; up,[sound:google-dde889b4-ec4d6cee-ba1484ee-f93a1481-da46e8b5.mp3],16,1399818767987,
ด้วย,with; also,[sound:google-84f0d8f3-acacb59d-5506db0e-c5bc4124-08f8d4a4.mp3],17,1399818767988,
จาก,from,[sound:google-ffd46f0d-dea8c624-6e21c1b8-a36b7e6d-6f14f6dd.mp3],18,1399818767989,
การ,the process of; work; job,[sound:google-4ab394b3-5b267bce-4b9a7c4e-2e47e535-8b642e1f.mp3],19,1399818767990,
ไป,go,[sound:google-19bc61a0-8ef86d82-6da9fdd3-4fefc2dd-09043b9b.mp3],20,1399818767991,
มา,come,[sound:google-cce93024-e6568951-84aa014e-98219aa0-c96a181d.mp3],21,1399818767992,
ถึง,reach; arrive at,[sound:google-5998378d-639f7d7e-39e22a43-4194bcb9-78c63446.mp3],22,1399818767993,
กว่า,than,[sound:google-54cf47d3-bd7ef01c-4578d3b3-6b33676d-bd657638.mp3],23,1399818767994,
ทั้ง,all; both,[sound:google-505cec36-fd7cf9f0-a6c269cb-a7f9d6b8-e41e4e82.mp3],24,1399818767995,
เมื่อ,when,[sound:google-fe894970-d9d9faec-d326060b-4564b965-8e0fb654.mp3],25,1399818767996,
คน,person,[sound:google-5376d633-38cae2b8-5c105240-1f609276-aa92ce41.mp3],26,1399818767997,
แต่,but,[sound:google-31b51afc-1774f4ad-33449299-e439972c-f74cae7b.mp3],27,1399818767998,
อยู่,located; present; exists,[sound:google-e1038757-0a93f99f-b803eeeb-dfe9f335-83a751e9.mp3],28,1399818767999,
ก็,then,[sound:google-ef9500c1-1ab986bc-532c6edb-d2143de8-dd73c1b9.mp3],29,1399818768000,
เรื่อง,subject; story,[sound:google-7fea8260-6988de44-a1900e2f-4fedc0a7-d84ff556.mp3],30,1399818768001,
อย่าง,type; like,[sound:google-2699213c-9a9f8264-4a50988d-4408706b-794e1211.mp3],31,1399818768002,
ความ,matter; affair; subject,[sound:google-b004d7f5-6468f6be-5329bc53-952d2b91-a8ab9f1a.mp3],32,1399818768003,
นั้น,that,[sound:google-7d1b5588-5702f331-412ae70d-6d2e2870-5ee88b9a.mp3],33,1399818768004,
มาก,much,[sound:google-f7ddd3b4-a6279ea6-a5657d6a-6e2b654d-a2a61221.mp3],34,1399818768005,
แล้ว,already,[sound:google-2082d0e4-a1044fa1-c4865ef8-23983f29-4e0908f7.mp3],35,1399818768006,
ถูก,cheap,[sound:google-9c0888d9-f5fce5c3-293d73a3-0b879c0e-ca31921d.mp3],36,1399818768007,
ไว้,to put in place; trust; to preserve,[sound:google-a213fe2b-39d9d138-a6167660-9b2838eb-79536206.mp3],37,1399818768008,
หรือ,or,[sound:google-f223ca41-34e251bc-25404a8d-9ef5202a-c027f09d.mp3],38,1399818768009,
เพราะ,because,[sound:google-e9bbccb8-eb4235d1-f3ce7d9f-de99e2ed-0719f6af.mp3],39,1399818768010,
เวลา,time,[sound:google-01c5f47d-2f82047b-31e6d890-e229f4a4-fd73eaf5.mp3],40,1399818768011,
ยัง,still,[sound:google-917d3ddc-dd9e1bb0-48a64785-1b01515e-e493b03c.mp3],41,1399818768012,
ทำ,do,[sound:google-3fed85e4-6650bc4b-9c000422-3f207891-565a75db.mp3],42,1399818768013,
เห็น,see,[sound:google-034d35e6-ce30333e-a4016c58-f28c150a-e2f8da4e.mp3],43,1399818768014,
