Front,Back,Audio,tags
นี้,this,[sound:google-4ba9f822-0ca22182-e190816d-5e82e244-6ab65800.mp3],nilsen
ว่า,that; think,[sound:google-e4912abf-85923290-00581e64-50240900-98372155.mp3],nilsen
ไม่,not,[sound:google-74379e0b-5b976b19-09ecebe2-76210d0d-06961e7c.mp3],nilsen
การ,the process of; work; job,[sound:google-4ab394b3-5b267bce-4b9a7c4e-2e47e535-8b642e1f.mp3],nilsen
เมื่อ,when,[sound:google-fe894970-d9d9faec-d326060b-4564b965-8e0fb654.mp3],nilsen
อย่าง,type; like,[sound:google-2699213c-9a9f8264-4a50988d-4408706b-794e1211.mp3],nilsen
ความ,matter; affair; subject,[sound:google-b004d7f5-6468f6be-5329bc53-952d2b91-a8ab9f1a.mp3],nilsen
แล้ว,already,[sound:google-2082d0e4-a1044fa1-c4865ef8-23983f29-4e0908f7.mp3],nilsen
ชั้น,layer; level; grade,[sound:google-c46622ad-cea2f45a-7b6019fd-86e6e517-0f56de7a.mp3],nilsen
ซึ่ง,which,[sound:google-f30e1b43-c9c68e73-e26b0bb2-9da68b4c-8648c4be.mp3],nilsen
ทำให้,make,[sound:google-651da9dc-01d10e2a-d1b70f81-34cf7c26-e0ee93e6.mp3],nilsen
โดย,by,[sound:google-2c19d995-4c0ae059-047fab42-d5972b60-3988a4a4.mp3],nilsen
เพื่อ,for,[sound:google-11f31d37-2b627920-c744140d-a106b841-fb54e552.mp3],nilsen
ครั้ง,time,[sound:google-283f6c9a-64204506-4717afeb-3f98dfbd-dbe4b7fa.mp3],nilsen
ผู้,person,[sound:google-0cc24767-7b53c590-98cf631f-d6a12eac-435f407c.mp3],nilsen
น้อย,little,[sound:google-87c47961-fab59d54-7a4532db-19c9f34b-19725fa7.mp3],nilsen
หาก,if,[sound:google-26742d13-b8cd134b-14f4dc8f-e0e80889-81b47e66.mp3],nilsen
เกิด,born,[sound:google-b7f64943-2b2ffe3a-116e1f9e-47ddc98c-b132b0a2.mp3],nilsen
เพียง,only,[sound:google-59999586-eff619fb-fe166804-19bbacb4-55152be0.mp3],nilsen
อาจ,may,[sound:google-d4acca09-cc194afc-6b5d2034-ca216220-f1013284.mp3],nilsen
ต่อไป,next,[sound:google-75f9d11b-19996b34-dace3c95-ecf7635d-8460c469.mp3],nilsen
เปลี่ยน,change,[sound:google-a4d5eac8-e5f23747-bb8958ce-d829b5a5-4735b0d1.mp3],nilsen
ต่าง,different,[sound:google-fa53086f-eb8d4793-2554fafb-95da6fca-65db45f8.mp3],nilsen
แห่ง,location; place; spot,[sound:google-e8e01044-c8085c0f-45ae0789-31623a75-d4def93e.mp3],nilsen
สำหรับ,for,[sound:google-f8e274c2-4d8b468a-bbedbb8f-0186b383-7c9955ff.mp3],nilsen
นอก,out,[sound:google-7d0ed383-891ab447-0c0d33ab-88eb03dc-9018e1df.mp3],nilsen
ด้าน,side,[sound:google-094edc0d-659b1772-1c2fba0e-161ff1d7-6b50a0e4.mp3],nilsen
ทรง,"style, hairdo",[sound:google-9dd6eb8c-72262f8e-bd00aac2-bc3fc831-e8508aeb.mp3],nilsen
นำ,lead,[sound:google-7f151c7d-741d0932-8a878a9a-c00b1a89-cf2b7501.mp3],nilsen
เท่านั้น,only,[sound:google-7297f713-17375560-0ae4ed7c-4adfaae5-e52c812a.mp3],nilsen
สามารถ,be able,[sound:google-f6bf55f0-a17b305f-17a3d12c-c5f43918-07c6596c.mp3],nilsen
เรียก,call,[sound:google-ccca25de-c9946ab7-812e3c46-d58c9f32-0371e1a8.mp3],nilsen
ชื่อ,name,[sound:google-47f8b20a-0a14f4d0-2099e787-5ff69c3c-bae69608.mp3],nilsen
ประเทศ,country,[sound:google-9e0aaa04-629e6ebb-fd2e4f82-e15a69f7-57418296.mp3],nilsen
ภาพ,image,[sound:google-34482d78-9cbefd22-3ffffc97-eba6c704-c06b8e56.mp3],nilsen
นอกจาก,in addition to,[sound:google-9de60802-d794bae1-78be6b09-81836964-89ddea16.mp3],nilsen
ได้รับ,receive,[sound:google-8e67134a-5419696f-9fb4cf41-a3103a9c-eda44556.mp3],nilsen
เดิม,original; before,[sound:google-a704d7e9-843082a9-ec38b14a-39d86e87-c8a2c13e.mp3],nilsen
ฝ่าย,party; side,[sound:google-8eff88fb-1ce50c40-91a6b6b0-f679985d-9387cfc7.mp3],nilsen
ส่ง,send,[sound:google-aec9fa86-16f0f21d-b8bf93b7-eec3deb6-573438d3.mp3],nilsen
ที่อยู่,address,[sound:google-bae2000e-073b4406-d445629b-a5614c2b-d43c998a.mp3],nilsen
แม้,even; &nbsp;though; if; provided,[sound:google-b2bd1b2c-827c7449-63b1dab8-b861fabc-def5ba9f.mp3],nilsen
ปัญหา,problem,[sound:google-a81551d9-ccea83b0-4f3cc75c-2cc1f528-1608ff0c.mp3],nilsen
จริง,real,[sound:google-c550d988-ccc8be4a-4dc9c490-45fee9bb-4daefa7b.mp3],nilsen
สร้าง,create,[sound:google-c347fb5b-73e02072-fff85861-c2000d3f-b0ba1ef4.mp3],nilsen
ร่วม,join,[sound:google-ab804e11-9ba81846-8c5fcd26-fd317df2-694b8584.mp3],nilsen
เช่น,like,[sound:google-ccd279e9-d1251d44-91656a89-721f498a-4b4d1bc7.mp3],nilsen
หนังสือ,book,[sound:google-0d25bd20-87040cc0-7f161ce1-32ec060c-84cad22a.mp3],nilsen
ละ,each,[sound:google-f2ec0a9d-4c4a1aa7-c5e0aefc-639b7877-03b9004e.mp3],nilsen
ท่าน,you (polite),[sound:google-411c2b13-12539644-74adc12e-a429871b-7f1b8200.mp3],nilsen
